Lat;Lon
78.24;15.54
78.26;15.58
78.27;15.54
78.28;15.45
78.29;15.36
78.28;15.28
78.28;15.24
78.28;15.14
78.28;15.05
78.28;14.96
78.28;14.85
78.27;14.77
78.27;14.62
78.26;14.54
78.25;14.43
78.24;14.36
78.23;14.29
78.22;14.21
78.21;14.15
78.2;14.05
78.17;13.82
78.17;13.76
78.17;13.72
78.17;13.66
78.17;13.53
78.17;13.51
78.17;13.36
78.17;13.2
78.16;13.08
78.15;12.94
78.14;12.77
78.14;12.68
78.14;12.42
78.13;11.99
78.13;11.86
78.14;11.84
78.14;11.81
78.14;11.79
78.15;11.78
78.16;11.75
78.17;11.72
78.17;11.69
78.18;11.67
78.18;11.61
78.19;11.59
78.19;11.56
78.2;11.54
78.21;11.51
78.21;11.49
78.21;11.45
78.21;11.41
78.22;11.37
78.23;11.35
78.24;11.33
78.26;11.3
78.26;11.29
78.27;11.27
78.31;11.22
78.32;11.21
78.33;11.2
78.3505;11.1836
78.3568;11.1821
78.36;11.17
78.36;11.14
78.37;11.11
78.37;11.08
78.38;11.02
78.39;10.97
78.39;10.93
78.45;10.73
78.46;10.71
78.47;10.69
78.48;10.67
78.49;10.63
78.49;10.61
78.5;10.6
78.5;10.59
78.5;10.59
78.51;10.59
78.53;10.6
78.53;10.59
78.54;10.58
78.55;10.57
78.55;10.55
78.56;10.52
78.56;10.51
78.57;10.48
78.58;10.45
78.58;10.42
78.59;10.38
78.6;10.37
78.63;10.3
78.68;10.26
78.69;10.25
78.77;10.15
78.85;10.06
78.9;10.06
78.91;10.05
78.92;10.03
78.93;10.02
78.93;10.02
78.94;10.02
78.94;10.04
78.95;10.05
78.96;10.14
78.98;10.46
78.99;10.61
79;10.64
79;10.76
79.01;10.92
79.01;10.95
79;11
79;11.02
79;11.03
79;11.04
78.99;11.06
78.99;11.07
78.99;11.09
78.99;11.11
78.99;11.2
78.99;11.23
78.99;11.24
78.99;11.32
78.99;11.36
78.99;11.38
78.99;11.4
78.99;11.42
78.99;11.43
78.98;11.46
78.98;11.48
78.98;11.53
78.98;11.54
78.98;11.57
78.98;11.58
78.98;11.6
78.97;11.61
78.97;11.63
78.97;11.64
78.97;11.67
78.97;11.7
78.96;11.81
78.96;11.84
78.96;11.86
78.95;11.89
78.95;11.9
78.95;11.91
78.94;11.91
78.94;11.9
78.94;11.89
78.94;11.87
